torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0,0,0,0,0,0,0,2.8721142,-0.4195695,0.2991246,-3.5877535,-0.28253514,4.6491237,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0,0,0,1,0,0,0,0,0,0,-3.5221143,0.019569486,0.2508754,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0,0,0,0,0,0,0,2.8721142,-0.4195695,0.2991246,-3.5877535,-0.28253514,4.6491237,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0,0,0,1,0,0,0,0,0,0,-3.5221143,0.019569486,0.2508754,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,1.7802359,-1.0646509,-1.8151424,-1.1170107,1.9373155,1.1170107,-0.91629785,0,0,0,0,0,0,0,2.8721142,-0.4195695,0.2991246,-3.5877535,-0.28253514,4.6491237,0.530416,-0.4544952,0.693097,0.5745483,0.17512383,0.15255436,0.7848268,0,0,0,1,0,0,0,0,0,0,-3.5221143,0.019569486,0.2508754,0,0,0,0,0,0,0
81.65476,163.14798,59.903084,4.6305513,-2.3361046,1.8196545,-0.48617706,0.5186625,0.6670784,-0.60971594,0.3176316,0.42552057,0.4714463,0.3147649,1.8321022,-0.99794304,-1.876114,-1.0852475,1.9798676,1.1641554,-0.88482136,1.7827955,-1.0612463,-1.8182857,-1.1154524,1.939219,1.1172243,-0.9161939,0.34136042,0.4539427,-0.41928926,0.20734255,0.25406316,0.027957106,0.013647933,2.8362408,-0.4223945,0.3448574,-3.5872157,-0.28249276,4.548002,0.5311923,-0.45339465,0.69428045,0.57476395,0.1746287,0.15357383,0.78458023,0.10358645,0.14688942,0.15762198,1,0,0,0,0,0,0,-3.4862409,0.022394508,0.20514262,34.134995,45.367504,-41.938286,20.664581,25.452065,2.6497784,1.3173336
-97.79682,119.66983,25.444427,71.383644,4.9266114,4.1975126,-2.3497043,-0.3076355,0.608385,-0.64616376,0.47693512,0.19781841,0.5550037,0.27936268,1.752032,-1.0004078,-1.882902,-1.0677589,1.9590008,1.1727247,-0.8882576,1.7847601,-1.0538687,-1.825484,-1.111159,1.9423432,1.1178862,-0.91585916,0.14767301,0.8316645,-0.8186247,0.5025493,0.33100548,0.07680964,0.03921335,2.8003721,-0.42521906,0.3895791,-3.5866778,-0.28245038,4.446895,0.53110933,-0.45315528,0.6969455,0.57708174,0.17351937,0.15583271,0.7826773,-0.04588548,-0.016842633,0.30314967,1,0,0,0,0,0,0,-3.4503722,0.025219053,0.16042092,-19.509083,37.522446,-39.487137,29.234337,7.4712873,4.224867,2.317469
-156.11513,118.04601,21.138206,93.256935,7.430237,5.954885,-2.8143735,-0.51522094,0.7637053,-0.6174931,0.49591896,0.27571484,0.43253505,-0.12590899,1.733238,-0.9774981,-1.8872334,-1.0615671,1.9699147,1.1611397,-0.92845005,1.783135,-1.0428919,-1.8356826,-1.1042353,1.9460473,1.1188875,-0.9155893,-0.26708964,1.1842973,-1.083275,0.7546082,0.3812231,0.103221804,0.021607881,2.7645092,-0.42804337,0.43328986,-3.58614,-0.282408,4.3458037,0.5287657,-0.45513296,0.7012826,0.5825969,0.17172034,0.15899391,0.77834046,-0.2984211,-0.2572817,0.47874784,1,0,0,0,0,0,0,-3.4145093,0.02804336,0.116710156,-41.790657,34.71525,-25.3487,24.874474,4.333621,1.2626052,-2.1471176
-153.42902,125.53328,32.22522,94.23978,8.614447,7.942686,-2.1332502,-0.6341238,0.8078976,-0.2749322,0.5653695,0.5072699,0.4609188,-0.4193636,1.7197226,-0.9621021,-1.8631759,-1.0476984,1.9967743,1.1649795,-0.9575256,1.7769495,-1.0292352,-1.8458297,-1.0951754,1.9506764,1.1200968,-0.915739,-0.7374645,1.4237115,-0.9859507,0.9561143,0.48660138,0.12008544,-0.028589876,2.728652,-0.4308672,0.47598982,-3.585602,-0.28236565,4.244727,0.52357244,-0.459332,0.7078314,0.5910356,0.1688073,0.16180725,0.77200985,-0.5960524,-0.47125074,0.71700937,1,0,0,0,0,0,0,-3.378652,0.03086719,0.07401019,-47.56438,23.216606,11.439586,19.998158,9.515631,-0.30222535,-5.4447103
-116.70256,98.13789,26.12935,71.19029,6.947858,6.4799433,-1.3376745,-0.7077495,0.8034785,-0.33433267,0.54657984,0.53826773,0.5202754,-0.47249106,1.7061746,-0.9488874,-1.879263,-1.0405174,2.0045033,1.1721244,-0.9629881,1.7666613,-1.0141424,-1.8545024,-1.0848719,1.9563413,1.121493,-0.91641706,-1.1277628,1.5358998,-0.82290125,1.0550251,0.59049946,0.140562,-0.0819339,2.6928005,-0.43369055,0.5176791,-3.5850642,-0.28232333,4.1436653,0.5158119,-0.46519876,0.7162028,0.6015134,0.16490793,0.16365036,0.7643334,-0.84081805,-0.6188415,0.88117105,1,0,0,0,0,0,0,-3.3428006,0.033690542,0.032320917,-39.511417,10.644889,17.795647,9.860277,9.6035,0.30488074,-5.6650085
-74.43618,75.08386,21.076952,48.657295,4.9033623,4.718218,-0.7720644,-0.7529071,0.8028604,-0.35506824,0.6114341,0.5273912,0.55584604,-0.49242166,1.6913706,-0.93385637,-1.8900093,-1.0237285,2.0090804,1.1770775,-0.9656592,1.7534605,-0.9986244,-1.861676,-1.073836,1.9628358,1.1231257,-0.9175958,-1.3854287,1.555843,-0.67875046,1.1195529,0.6675043,0.16660592,-0.13085307,2.6569538,-0.43651342,0.55835783,-3.5845265,-0.282281,4.0426188,0.50615025,-0.4721017,0.7256922,0.61320966,0.16031897,0.16449183,0.7557871,-1.0140873,-0.70362437,0.9752309,1,0,0,0,0,0,0,-3.306954,0.036513418,-0.008357823,-26.124573,1.6136885,15.492678,6.4073324,7.2526693,1.3555467,-5.189678
-32.0924,62.089516,19.771122,28.067265,2.7386274,3.2566943,-0.31297663,-0.7636209,0.79832894,-0.3302414,0.6450732,0.50920796,0.5759154,-0.48066416,1.6770984,-0.9187915,-1.8947002,-1.0093286,2.0137565,1.1807172,-0.96566224,1.7387148,-0.98329693,-1.8676975,-1.0623289,1.9698415,1.1250387,-0.91920084,-1.505143,1.5243739,-0.5741517,1.1605142,0.7109919,0.19737121,-0.17141536,2.6211128,-0.43933582,0.5980263,-3.5839891,-0.2822387,3.9415874,0.4953189,-0.47939062,0.73573524,0.62543935,0.15524179,0.16454762,0.7467594,-1.1131885,-0.7235177,1.0173278,1,0,0,0,0,0,0,-3.271113,0.039335817,-0.048026264,-12.224317,-3.3591747,11.19175,3.9441824,4.1795015,2.3621738,-4.3889523
